Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Fullmetal Alchemist: Brotherhood,9.15,64, Bones, Manga, Spring 2009,2828807,198366,3,1
Gintama\Gintama Season 4,9.09,51, Bandai Namco Pictures, Manga, Spring 2015,520863,13841,336,2
Steins;Gate,9.09,24, White Fox, Visual novel, Spring 2011,2196795,167810,13,3
Shingeki no Kyojin Season 3 Part 2\Attack on Titan Season 3 Part 2,9.08,10, Wit Studio, Manga, Spring 2019,1774864,49604,31,4
"Gintama\Gintama Season 2""",9.06,51, Sunrise, Manga, Spring 2011,458603,6832,383,5
Gintama: The Final,9.05,1, Bandai Namco Pictures, Manga,TBD,95674,3311,1763,6
Hunter x Hunter (2011)\Hunter x Hunter,9.05,148, Madhouse, Manga, Fall 2011,2309115,176931,10,7
Fruits Basket: The Final,9.04,13, TMS Entertainment, Manga, Spring 2021,328717,15233,556,8
"Gintama: Enchousen\Gintama: Enchousen""",9.04,13, Sunrise, Manga, Fall 2012,275385,2696,693,9
Ginga Eiyuu Densetsu\Legend of the Galactic Heroes,9.03,110," K-Factory, Kitty Film Mitaka Studio", Novel,TBD,275017,14348,696,10
Shingeki no Kyojin: The Final Season Part 2\Attack on Titan: The Final Season Part 2,9.02,12, MAPPA, Manga, Winter 2022,767995,23090,174,11
Gintama.\Gintama Season 5,8.99,12, Bandai Namco Pictures, Manga, Winter 2017,262056,2446,733,12
3-gatsu no Lion 2nd Season\March Comes In Like A Lion 2nd Season,8.96,22, Shaft, Manga, Fall 2017,344506,13809,532,13
Koe no Katachi\A Silent Voice,8.96,1, Kyoto Animation, Manga,TBD,1915877,74080,19,14
Violet Evergarden Movie\Violet Evergarden the Movie,8.96,1, Kyoto Animation, Light novel,TBD,414284,6169,430,15
Gintama,8.95,201, Sunrise, Manga, Spring 2006,927571,53614,127,16
Clannad: After Story\Clannad ~After Story~,8.94,24, Kyoto Animation, Visual novel, Fall 2008,1065270,65617,102,17
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.93,1, Sunrise, Manga,TBD,206112,1976,937,18
Code Geass: Hangyaku no Lelouch R2\Code Geass: Lelouch of the Rebellion R2,8.91,25, Sunrise, Original, Spring 2008,1540400,69608,46,19
Kimetsu no Yaiba: Yuukaku-hen\Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,8.9,11, ufotable, Manga, Winter 2022,779656,17296,169,20
Owarimonogatari 2nd Season\Owarimonogatari Second Season,8.9,7, Shaft, Light novel, Summer 2017,341873,7853,537,21
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen\Gintama.: Silver Soul Arc - Second Half War,8.89,14, Bandai Namco Pictures, Manga, Summer 2018,159102,943,1191,22
Kimi no Na wa.\Your Name.,8.87,1, CoMix Wave Films, Original,TBD,2305286,79857,11,23
Shingeki no Kyojin: The Final Season\Attack on Titan: The Final Season,8.86,16, MAPPA, Manga, Winter 2021,1527277,49776,47,24
Monster,8.82,74, Madhouse, Manga, Spring 2004,824115,36652,157,25
Gintama.: Shirogane no Tamashii-hen\Gintama.: Silver Soul Arc,8.82,12, Bandai Namco Pictures, Manga, Winter 2018,172597,1060,1088,26
Kizumonogatari III: Reiketsu-hen\Kizumonogatari III: Cold-Blooded,8.81,1, Shaft, Light novel,TBD,394298,6496,454,27
Mob Psycho 100 II,8.81,13, Bones, Web manga, Winter 2019,1198333,27637,85,28
Shiguang Dailiren\Link Click,8.8,11, Studio LAN, Original,TBD,193042,6220,987,29
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou\Haikyu!! 3rd Season,8.8,10, Production I.G, Manga, Fall 2016,1011002,14206,111,30
Sen to Chihiro no Kamikakushi\Spirited Away,8.79,1, Studio Ghibli, Original,TBD,1577471,27682,43,31
Monogatari Series: Second Season,8.78,26, Shaft, Light novel, Summer 2013,601182,22067,270,32
Kingdom 3rd Season,8.78,26," Pierrot Plus, Studio Signpost", Manga, Spring 2020,64824,1193,2252,33
Cowboy Bebop,8.76,26, Sunrise, Original, Spring 1998,1580867,70033,42,34
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2\Mushoku Tensei: Jobless Reincarnation,8.76,12, Studio Bind, Light novel, Fall 2021,545392,13175,320,35
Odd Taxi,8.76,13," OLM, P.I.C.S.", Original, Spring 2021,284756,5890,672,36
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen\Descending Stories: Showa Genroku Rakugo Shinju,8.75,12, Studio Deen, Manga, Winter 2017,166824,2887,1139,37
Mushishi Zoku Shou 2nd Season,8.74,10, Artland, Manga, Fall 2014,232933,1272,821,38
Hajime no Ippo\Fighting Spirit,8.74,75, Madhouse, Manga, Fall 2000,469722,17166,372,39
Vinland Saga,8.73,24, Wit Studio, Manga, Summer 2019,1057693,30915,104,40
86 Part 2\86 Eighty-Six,8.72,12, A-1 Pictures, Light novel, Fall 2021,273832,6937,699,41
"Fate/stay night Movie: Heavens Feel - III. Spring Song\Fate/stay night: Heavens Feel - III. Spring Song""",8.72,1, ufotable, Visual novel,TBD,262577,6487,731,42
Ashita no Joe 2\Rocky Joe 2,8.71,47, Tokyo Movie Shinsha, Manga, Fall 1980,40428,2020,2925,43
Mo Dao Zu Shi: Wanjie Pian,8.71,12, B.CMAY PICTURES, Web novel,TBD,52896,1187,2526,44
Mushishi Zoku Shou\MUSHI-SHI -Next Passage-,8.71,10, Artland, Manga, Spring 2014,265366,1404,721,45
Ousama Ranking\Ranking of Kings,8.71,23, Wit Studio, Web manga, Fall 2021,351718,7876,515,46
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen\Samurai X: Trust and Betrayal,8.71,4, Studio Deen, Manga,TBD,254293,5857,759,47
Code Geass: Hangyaku no Lelouch\Code Geass: Lelouch of the Rebellion,8.7,25, Sunrise, Original, Fall 2006,1952739,97606,17,48
Great Teacher Onizuka,8.69,43, Studio Pierrot, Manga, Summer 1999,709725,22688,213,49
Jujutsu Kaisen (TV),8.69,24, MAPPA, Manga, Fall 2020,1773185,66481,32,50
Kimetsu no Yaiba Movie: Mugen Ressha-hen\Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.68,1, ufotable, Manga,TBD,1086139,11293,98,51
Made in Abyss,8.68,13, Kinema Citrus, Web manga, Summer 2017,1107088,36123,94,52
Made in Abyss Movie 3: Fukaki Tamashii no Reimei\Made in Abyss: Dawn of the Deep Soul,8.68,1, Kinema Citrus, Web manga,TBD,313377,2553,587,53
Mononoke Hime\Princess Mononoke,8.68,1, Studio Ghibli, Original,TBD,1074431,18287,101,54
Mushishi\Mushi-Shi,8.67,26, Artland, Manga, Fall 2005,727838,24209,199,55
Shigatsu wa Kimi no Uso\Your Lie in April,8.67,22, A-1 Pictures, Manga, Fall 2014,1893550,77618,22,56
Violet Evergarden,8.66,13, Kyoto Animation, Light novel, Winter 2018,1465476,49550,52,57
Hajime no Ippo: New Challenger\Fighting Spirit: New Challenger,8.66,26, Madhouse, Manga, Winter 2009,237581,1544,808,58
"Howl no Ugoku Shiro\Howls Moving Castle""",8.66,1, Studio Ghibli, Novel,TBD,1101180,22586,97,59
Evangelion: 3.0+1.0 Thrice Upon a Time,8.65,1, Khara, Original,TBD,280023,5186,680,60
Haikyuu!! Second Season\Haikyu!! 2nd Season,8.65,25, Production I.G, Manga, Fall 2015,1212074,14859,83,61
